Gulf Location (3),State/TX divided,Bay,Latitude,Longitude,Tidal Zone,Havest or not,Havest Pressure,Height (mm),Length (mm),Width (mm),Volume (mL),Wet Tissue Weight (g),Wet Shell Weight (g),Wet Whole Weight (g),Fan (L/H) ratio,Cup (W/H) ratio,V/H ratio,Weight ratio (tissue/shell)
Eastern,FL,Apalachicola,29.73633333,-84.92691667,Subtidal,No,None,65,57,32,40,10.17,71.46,81.63,0.876923077,0.492307692,0.615384615,0.14231738
Eastern,FL,Apalachicola,29.73633333,-84.92691667,Subtidal,No,None,82,63,35,52.8,16.29,87.55,103.84,0.768292683,0.426829268,0.643902439,0.186065106
Eastern,FL,Apalachicola,29.73633333,-84.92691667,Subtidal,No,None,79,42,22,19.4,8.1,29.2,37.3,0.53164557,0.278481013,0.24556962,0.27739726
Eastern,FL,Caloosahatchee River,26.52715,-81.9561,Subtidal,No,None,86,38,20,21.4,4.16,32.12,36.28,0.441860465,0.23255814,0.248837209,0.129514321
Eastern,FL,Caloosahatchee River,26.52715,-81.9561,Subtidal,No,None,75,40,18,18,3.11,27.53,30.64,0.533333333,0.24,0.24,0.112967672
Eastern,FL,Caloosahatchee River,26.52715,-81.9561,Subtidal,No,None,98,36,16,21.6,3.1,32.36,35.46,0.367346939,0.163265306,0.220408163,0.095797281
Eastern,FL,Caloosahatchee River,26.52715,-81.9561,Subtidal,No,None,96,36,18,26,2.63,39.56,42.19,0.375,0.1875,0.270833333,0.066481294
Eastern,FL,Caloosahatchee River,26.52715,-81.9561,Subtidal,No,None,85,30,20,19.6,2.52,28.14,30.66,0.352941176,0.235294118,0.230588235,0.089552239
Eastern,FL,Caloosahatchee River,26.52715,-81.9561,Subtidal,No,None,82,31,18,18.8,3.34,30.69,34.03,0.37804878,0.219512195,0.229268293,0.108830238
Eastern,FL,Caloosahatchee River,26.52715,-81.9561,Subtidal,No,None,96,35,17,20.8,2.92,31.95,34.87,0.364583333,0.177083333,0.216666667,0.091392801
Eastern,FL,Caloosahatchee River,26.52715,-81.9561,Subtidal,No,None,57,40,18,12,1.66,16.62,18.28,0.701754386,0.315789474,0.210526316,0.099879663
Eastern,FL,Caloosahatchee River,26.5134,-81.97923333,Intertidal,No,None,58,42,18,14.4,2.54,21.15,23.69,0.724137931,0.310344828,0.248275862,0.120094563
Eastern,FL,Caloosahatchee River,26.5134,-81.97923333,Intertidal,No,None,85,50,21,15.8,3.82,33.02,36.84,0.588235294,0.247058824,0.185882353,0.115687462
Eastern,FL,Caloosahatchee River,26.5134,-81.97923333,Intertidal,No,None,64,35,21,21.4,4.45,31.44,35.89,0.546875,0.328125,0.334375,0.14153944
Eastern,FL,Caloosahatchee River,26.5134,-81.97923333,Intertidal,No,None,81,41,22,37,4.73,57.78,62.51,0.50617284,0.271604938,0.456790123,0.081862236
Eastern,FL,Caloosahatchee River,26.5134,-81.97923333,Intertidal,No,None,70,41,21,21,3.14,33.37,36.51,0.585714286,0.3,0.3,0.094096494
Eastern,FL,Caloosahatchee River,26.5134,-81.97923333,Intertidal,No,None,97,54,21,46.4,7.16,66.88,74.04,0.556701031,0.216494845,0.478350515,0.107057416
Eastern,FL,Caloosahatchee River,26.5134,-81.97923333,Intertidal,No,None,82,46,18,23.8,3.59,38.96,42.55,0.56097561,0.219512195,0.290243902,0.092145791
Eastern,FL,Caloosahatchee River,26.5134,-81.97923333,Intertidal,No,None,92,43,18,25.6,2.84,39.52,42.36,0.467391304,0.195652174,0.27826087,0.071862348
Eastern,FL,Caloosahatchee River,26.51381667,-82.032733,Intertidal,No,None,45,30,14,5,1.09,8.46,9.55,0.666666667,0.311111111,0.111111111,0.128841608
Eastern,FL,Caloosahatchee River,26.51381667,-82.032733,Intertidal,No,None,56,34,11,6.6,1.77,11.35,13.12,0.607142857,0.196428571,0.117857143,0.155947137
Eastern,FL,Caloosahatchee River,26.51381667,-82.032733,Intertidal,No,None,50,23,18,7,1.74,9.71,11.45,0.46,0.36,0.14,0.179196704
Eastern,FL,Caloosahatchee River,26.51381667,-82.032733,Intertidal,No,None,59,36,18,15.8,2.53,21.34,23.87,0.610169492,0.305084746,0.26779661,0.118556701
Eastern,FL,Caloosahatchee River,26.51381667,-82.032733,Intertidal,No,None,50,38,19,10,1.75,16.17,17.92,0.76,0.38,0.2,0.108225108
Eastern,FL,Caloosahatchee River,26.51381667,-82.032733,Intertidal,No,None,70,40,21,13.6,2.72,20.62,23.34,0.571428571,0.3,0.194285714,0.131910766
Eastern,FL,Caloosahatchee River,26.51381667,-82.032733,Intertidal,No,None,60,34,20,9.8,1.76,15.59,17.35,0.566666667,0.333333333,0.163333333,0.11289288
Eastern,FL,Caloosahatchee River,26.51381667,-82.032733,Intertidal,No,None,64,42,23,20.8,3.1,34.86,37.96,0.65625,0.359375,0.325,0.088927137
Eastern,FL,Caloosahatchee River,26.49628333,-82.0056,Intertidal,No,None,48,38,17,13,2.08,14.5,16.58,0.791666667,0.354166667,0.270833333,0.143448276
Eastern,FL,Caloosahatchee River,26.49628333,-82.0056,Intertidal,No,None,44,24,14,6.2,1.24,8.29,9.53,0.545454545,0.318181818,0.140909091,0.149577805
Eastern,FL,Caloosahatchee River,26.49628333,-82.0056,Intertidal,No,None,50,28,9,5.4,1.11,8.52,9.63,0.56,0.18,0.108,0.13028169
Eastern,FL,Caloosahatchee River,26.49628333,-82.0056,Intertidal,No,None,59,34,16,11.4,2.85,14.96,17.81,0.576271186,0.271186441,0.193220339,0.190508021
Eastern,FL,Caloosahatchee River,26.49628333,-82.0056,Intertidal,No,None,54,34,15,13.8,2.07,10.75,12.82,0.62962963,0.277777778,0.255555556,0.19255814
Eastern,FL,Caloosahatchee River,26.49628333,-82.0056,Intertidal,No,None,60,36,27,16.2,1.83,17.57,19.4,0.6,0.45,0.27,0.104154809
Eastern,FL,Tampa Bay,27.70121667,-82.66276667,Intertidal,No,None,52,29,18,11.4,3.27,17.17,20.44,0.557692308,0.346153846,0.219230769,0.190448457
Eastern,FL,Tampa Bay,27.70121667,-82.66276667,Intertidal,No,None,60,26,12,10.6,2.01,10.25,12.26,0.433333333,0.2,0.176666667,0.196097561
Eastern,FL,Tampa Bay,27.70121667,-82.66276667,Intertidal,No,None,44,26,15,6.8,1.86,8.15,10.01,0.590909091,0.340909091,0.154545455,0.228220859
Eastern,FL,Tampa Bay,27.70121667,-82.66276667,Intertidal,No,None,66,30,17,11.8,3.02,16.42,19.44,0.454545455,0.257575758,0.178787879,0.183922046
Eastern,FL,Tampa Bay,27.70121667,-82.66276667,Intertidal,No,None,53,28,13,10,1.88,11.88,13.76,0.528301887,0.245283019,0.188679245,0.158249158
Eastern,FL,Tampa Bay,27.70121667,-82.66276667,Intertidal,No,None,71,34,16,16,4.43,26.03,30.46,0.478873239,0.225352113,0.225352113,0.170188244
Eastern,FL,Tampa Bay,27.65358333,-82.68081667,Intertidal,No,,68,40,21,14,3.33,21.64,24.97,0.588235294,0.308823529,0.205882353,0.153881701
Eastern,FL,Tampa Bay,27.65358333,-82.68081667,Intertidal,No,,57,40,15,11.6,2.61,14.88,17.49,0.701754386,0.263157895,0.203508772,0.175403226
Eastern,FL,Tampa Bay,27.65358333,-82.68081667,Intertidal,No,,56,36,13,12.2,2.41,15.88,18.29,0.642857143,0.232142857,0.217857143,0.151763224
Eastern,FL,Tampa Bay,27.65358333,-82.68081667,Intertidal,No,,71,32,13,15.4,3.51,19.59,23.1,0.450704225,0.183098592,0.216901408,0.179173047
Eastern,FL,Tampa Bay,27.65358333,-82.68081667,Intertidal,No,,60,36,22,15.4,3.36,18.94,22.3,0.6,0.366666667,0.256666667,0.177402323
Eastern,FL,Tampa Bay,27.65358333,-82.68081667,Intertidal,No,,71,42,23,18.2,5.22,26.84,32.06,0.591549296,0.323943662,0.256338028,0.194485842
Eastern,FL,Tampa Bay,27.64606667,-82.71323333,Intertidal,No,None,43,38,18,9,2.12,11.12,13.24,0.88372093,0.418604651,0.209302326,0.190647482
Eastern,FL,Tampa Bay,27.64606667,-82.71323333,Intertidal,No,None,52,31,14,9.2,2.53,14.41,16.94,0.596153846,0.269230769,0.176923077,0.175572519
Eastern,FL,Tampa Bay,27.64606667,-82.71323333,Intertidal,No,None,63,31,17,10.4,3.08,18,21.08,0.492063492,0.26984127,0.165079365,0.171111111
Eastern,FL,Tampa Bay,27.64606667,-82.71323333,Intertidal,No,None,60,38,16,16.4,3.59,20.04,23.63,0.633333333,0.266666667,0.273333333,0.179141717
Eastern,FL,Tampa Bay,27.64606667,-82.71323333,Intertidal,No,None,52,31,15,12.4,2.8,19.42,22.22,0.596153846,0.288461538,0.238461538,0.144181256
Eastern,FL,Tampa Bay,27.64606667,-82.71323333,Intertidal,No,None,70,35,19,16.2,4.02,23.3,27.32,0.5,0.271428571,0.231428571,0.172532189
Eastern,FL,Tampa Bay,27.73683333,-82.69275,Intertidal,No,None,63,34,18,14,2.9,15.53,18.43,0.53968254,0.285714286,0.222222222,0.186735351
Eastern,FL,Tampa Bay,27.73683333,-82.69275,Intertidal,No,None,53,30,17,9.8,1.95,12.68,14.63,0.566037736,0.320754717,0.18490566,0.153785489
Eastern,FL,Tampa Bay,27.73683333,-82.69275,Intertidal,No,None,53,35,18,11,2.97,15.02,17.99,0.660377358,0.339622642,0.20754717,0.197736352
Eastern,FL,Tampa Bay,27.73683333,-82.69275,Intertidal,No,None,60,43,17,15.4,4.14,16.88,21.02,0.716666667,0.283333333,0.256666667,0.245260664
Eastern,FL,Tampa Bay,27.73683333,-82.69275,Intertidal,No,None,62,34,13,13.4,2.42,13.66,16.08,0.548387097,0.209677419,0.216129032,0.17715959
Eastern,FL,Tampa Bay,27.73683333,-82.69275,Intertidal,No,None,75,39,17,17.4,4.25,25.16,29.41,0.52,0.226666667,0.232,0.168918919
Eastern,FL,Tampa Bay,27.84225,-82.60958333,Intertidal,No,None,58,46,16,15.2,4.75,21.02,25.77,0.793103448,0.275862069,0.262068966,0.225975262
Eastern,FL,Tampa Bay,27.84225,-82.60958333,Intertidal,No,None,81,43,21,28.6,9.49,43.19,52.68,0.530864198,0.259259259,0.35308642,0.219726789
Eastern,FL,Tampa Bay,27.84225,-82.60958333,Intertidal,No,None,63,37,23,17,5.91,26.21,32.12,0.587301587,0.365079365,0.26984127,0.225486456
Eastern,FL,Tampa Bay,27.84225,-82.60958333,Intertidal,No,None,87,57,22,35,7.7,48.8,56.5,0.655172414,0.252873563,0.402298851,0.157786885
Eastern,FL,Tampa Bay,27.84225,-82.60958333,Intertidal,No,None,71,37,17,17,5.6,20.33,25.93,0.521126761,0.23943662,0.23943662,0.275454993
Eastern,FL,Tampa Bay,27.84225,-82.60958333,Intertidal,No,None,95,51,30,52.6,13.67,67.44,81.11,0.536842105,0.315789474,0.553684211,0.202698695
Northern,LA,Calcasieu Lake,29.84333333,-93.31861111,Subtidal,Yes,,90,68,40,105.6,17.27,194.6,211.87,0.755555556,0.444444444,1.173333333,0.088746146
Northern,LA,Calcasieu Lake,29.84333333,-93.31861111,Subtidal,Yes,,105,73,39,118.6,20.01,203.29,223.3,0.695238095,0.371428571,1.12952381,0.098430813
Northern,LA,Calcasieu Lake,29.84333333,-93.31861111,Subtidal,Yes,,95,76,39,114.8,20.66,199.98,220.64,0.8,0.410526316,1.208421053,0.103310331
Northern,LA,Calcasieu Lake,29.84333333,-93.31861111,Subtidal,Yes,,78,64,41,77.4,12.64,144.18,156.82,0.820512821,0.525641026,0.992307692,0.087668193
Northern,LA,Calcasieu Lake,29.84333333,-93.31861111,Subtidal,Yes,,87,61,42,103.4,16.27,190.78,207.05,0.701149425,0.482758621,1.188505747,0.085281476
Northern,LA,Calcasieu Lake,29.84333333,-93.31861111,Subtidal,Yes,,120,73,42,150,25.15,272.68,297.83,0.608333333,0.35,1.25,0.092232654
Northern,LA,Calcasieu Lake,29.84333333,-93.31861111,Subtidal,Yes,,98,67,38,92.2,16.67,167.37,184.04,0.683673469,0.387755102,0.940816327,0.099599689
Northern,LA,Calcasieu Lake,29.84333333,-93.31861111,Subtidal,Yes,,95,71,46,135,25.31,234.72,260.03,0.747368421,0.484210526,1.421052632,0.107830607
Northern,LA,Calcasieu Lake,29.84333333,-93.31861111,Subtidal,Yes,,91,75,46,135.4,22.3,226.83,249.13,0.824175824,0.505494505,1.487912088,0.098311511
Northern,LA,Calcasieu Lake,29.84333333,-93.31861111,Subtidal,Yes,,108,93,50,200,28.05,354.26,382.31,0.861111111,0.462962963,1.851851852,0.079179134
Northern,LA,Calcasieu Lake,29.84333333,-93.31861111,Subtidal,Yes,,85,72,31,74,14.07,146.24,160.31,0.847058824,0.364705882,0.870588235,0.096211707
Northern,LA,Calcasieu Lake,29.84333333,-93.31861111,Subtidal,Yes,,89,72,40,95.8,15.85,190.31,206.16,0.808988764,0.449438202,1.076404494,0.083285166
Northern,LA,Calcasieu Lake,29.84333333,-93.31861111,Subtidal,Yes,,90,61,30,60.8,11.22,124.01,135.23,0.677777778,0.333333333,0.675555556,0.090476574
Northern,LA,Calcasieu Lake,29.84333333,-93.31861111,Subtidal,Yes,,91,60,37,84.2,16.52,153.3,169.82,0.659340659,0.406593407,0.925274725,0.107762557
Northern,LA,Calcasieu Lake,29.84333333,-93.31861111,Subtidal,Yes,,90,68,30,80,14.23,141.22,155.45,0.755555556,0.333333333,0.888888889,0.100764764
Northern,LA,Calcasieu Lake,29.84333333,-93.31861111,Subtidal,Yes,,93,68,37,108.2,18.17,192.64,210.81,0.731182796,0.397849462,1.16344086,0.094321013
Northern,LA,Calcasieu Lake,29.84333333,-93.31861111,Subtidal,Yes,,75,63,35,69.8,12.14,123.29,135.43,0.84,0.466666667,0.930666667,0.098467029
Northern,LA,Calcasieu Lake,29.84333333,-93.31861111,Subtidal,Yes,,82,72,38,100,16.66,171.44,188.1,0.87804878,0.463414634,1.219512195,0.097176855
Northern,LA,Calcasieu Lake,29.84333333,-93.31861111,Subtidal,Yes,,88,66,33,79.8,13.83,143,156.83,0.75,0.375,0.906818182,0.096713287
Northern,LA,Calcasieu Lake,29.84333333,-93.31861111,Subtidal,Yes,,88,71,35,92.6,18.18,165.73,183.91,0.806818182,0.397727273,1.052272727,0.109696494
Northern,LA,Calcasieu Lake,29.84333333,-93.31861111,Subtidal,Yes,,75,86,37,74.2,17.28,123.64,140.92,1.146666667,0.493333333,0.989333333,0.139760595
Northern,LA,Calcasieu Lake,29.84333333,-93.31861111,Subtidal,Yes,,77,63,38,76.4,14.06,141.95,156.01,0.818181818,0.493506494,0.992207792,0.099048961
Northern,LA,Calcasieu Lake,29.84333333,-93.31861111,Subtidal,Yes,,80,64,35,77.4,14.03,149.37,163.4,0.8,0.4375,0.9675,0.09392783
Northern,LA,Calcasieu Lake,29.84333333,-93.31861111,Subtidal,Yes,,76,59,37,66.2,10.95,135.05,146,0.776315789,0.486842105,0.871052632,0.081081081
Northern,LA,Calcasieu Lake,29.84333333,-93.31861111,Subtidal,Yes,,79,65,35,65,13.79,120.41,134.2,0.82278481,0.443037975,0.82278481,0.114525372
Northern,LA,Calcasieu Lake,29.84333333,-93.31861111,Subtidal,Yes,,71,54,35,59,8.71,111.92,120.63,0.76056338,0.492957746,0.830985915,0.077823445
Northern,LA,Calcasieu Lake,29.84333333,-93.31861111,Subtidal,Yes,,76,54,33,44.4,7.32,79.5,86.82,0.710526316,0.434210526,0.584210526,0.092075472
Northern,LA,Calcasieu Lake,29.84333333,-93.31861111,Subtidal,Yes,,65,55,12,40,6.11,63.95,70.06,0.846153846,0.184615385,0.615384615,0.095543393
Northern,LA,Calcasieu Lake,29.84333333,-93.31861111,Subtidal,Yes,,56,51,28,33.6,5.7,55.31,61.01,0.910714286,0.5,0.6,0.103055505
Northern,LA,Calcasieu Lake,29.84333333,-93.31861111,Subtidal,Yes,,52,43,21,19,3.34,36.28,39.62,0.826923077,0.403846154,0.365384615,0.092061742
Northern,TX-Upper,San Antonio Bay,28.30411111,-96.62822222,Subtidal,Yes,,54,50,,,3.28,,,0.925925926,,,
Northern,TX-Upper,San Antonio Bay,28.30411111,-96.62822222,Subtidal,Yes,,56,22,,,0.34,,,0.392857143,,,
Northern,TX-Upper,San Antonio Bay,28.30411111,-96.62822222,Subtidal,Yes,,50,49,,,1.77,,,0.98,,,
Northern,TX-Upper,San Antonio Bay,28.30411111,-96.62822222,Subtidal,Yes,,58,37,,,2.34,,,0.637931034,,,
Northern,TX-Upper,San Antonio Bay,28.30411111,-96.62822222,Subtidal,Yes,,36,26,,,1.24,,,0.722222222,,,
Northern,TX-Upper,San Antonio Bay,28.30411111,-96.62822222,Subtidal,Yes,,41,33,,,1.27,,,0.804878049,,,
Northern,TX-Upper,San Antonio Bay,28.30411111,-96.62822222,Subtidal,Yes,,35,28,9,2,0.78,8.05,8.83,0.8,0.257142857,0.057142857,0.09689441
Northern,TX-Upper,San Antonio Bay,28.30411111,-96.62822222,Subtidal,Yes,,58,43,20,15.2,2.82,27.47,30.29,0.74137931,0.344827586,0.262068966,0.102657444
Northern,TX-Upper,San Antonio Bay,28.30411111,-96.62822222,Subtidal,Yes,,52,45,13,12,1.93,18.36,20.29,0.865384615,0.25,0.230769231,0.105119826
Northern,TX-Upper,San Antonio Bay,28.30411111,-96.62822222,Subtidal,Yes,,51,43,16,14,2.08,23.01,25.09,0.843137255,0.31372549,0.274509804,0.09039548
Northern,TX-Upper,San Antonio Bay,28.30411111,-96.62822222,Subtidal,Yes,,30,21,11,1.8,0.46,4.08,4.54,0.7,0.366666667,0.06,0.112745098
Northern,TX-Upper,San Antonio Bay,28.30411111,-96.62822222,Subtidal,Yes,,55,44,23,21.6,4.43,41.87,46.3,0.8,0.418181818,0.392727273,0.105803678
Northern,TX-Upper,San Antonio Bay,28.30411111,-96.62822222,Subtidal,Yes,,105,65,43,113.8,14.01,204.27,218.28,0.619047619,0.40952381,1.083809524,0.068585695
Northern,TX-Upper,San Antonio Bay,28.30411111,-96.62822222,Subtidal,Yes,,114,79,43,120.8,16.12,219.01,235.13,0.692982456,0.377192982,1.059649123,0.073603945
Northern,TX-Upper,San Antonio Bay,28.30411111,-96.62822222,Subtidal,Yes,,102,74,41,121,16.9,206.13,223.03,0.725490196,0.401960784,1.18627451,0.081987096
Northern,TX-Upper,San Antonio Bay,28.30411111,-96.62822222,Subtidal,Yes,,106,89,39,100,11.15,189.59,200.74,0.839622642,0.367924528,0.943396226,0.058811119
Northern,TX-Upper,San Antonio Bay,28.30411111,-96.62822222,Subtidal,Yes,,102,79,38,89,12.52,188.59,201.11,0.774509804,0.37254902,0.87254902,0.066387401
Northern,TX-Upper,San Antonio Bay,28.30411111,-96.62822222,Subtidal,Yes,,107,74,41,85,10.68,177.7,188.38,0.691588785,0.38317757,0.794392523,0.060101294
Northern,TX-Upper,San Antonio Bay,28.30411111,-96.62822222,Subtidal,Yes,,126,65,32,104.4,14.85,179.05,193.9,0.515873016,0.253968254,0.828571429,0.082937727
Northern,TX-Upper,San Antonio Bay,28.30411111,-96.62822222,Subtidal,Yes,,101,82,41,114.2,18.92,182.26,201.18,0.811881188,0.405940594,1.130693069,0.103807747
Northern,TX-Upper,San Antonio Bay,28.30411111,-96.62822222,Subtidal,Yes,,106,80,46,100,12.56,192.33,204.89,0.754716981,0.433962264,0.943396226,0.065304425
Northern,TX-Upper,San Antonio Bay,28.30411111,-96.62822222,Subtidal,Yes,,112,76,39,107.8,13.943,191.937,205.88,0.678571429,0.348214286,0.9625,0.072643628
Northern,TX-Upper,San Antonio Bay,28.30411111,-96.62822222,Subtidal,Yes,,106,70,42,100,11.53,198.51,210.04,0.660377358,0.396226415,0.943396226,0.058082716
Northern,TX-Upper,San Antonio Bay,28.30411111,-96.62822222,Subtidal,Yes,,101,67,39,83,12.32,166.88,179.2,0.663366337,0.386138614,0.821782178,0.073825503
Northern,TX-Upper,San Antonio Bay,28.30411111,-96.62822222,Subtidal,Yes,,90,72,35,77,12.1,126.45,138.55,0.8,0.388888889,0.855555556,0.095689996
Northern,TX-Upper,San Antonio Bay,28.30411111,-96.62822222,Subtidal,Yes,,75,60,39,60,7.84,125.59,133.43,0.8,0.52,0.8,0.062425352
Northern,TX-Upper,San Antonio Bay,28.30411111,-96.62822222,Subtidal,Yes,,86,51,26,39.6,7.42,76.77,84.19,0.593023256,0.302325581,0.460465116,0.096652338
Northern,TX-Upper,San Antonio Bay,28.30411111,-96.62822222,Subtidal,Yes,,81,54,40,48.2,7.35,83.95,91.3,0.666666667,0.49382716,0.595061728,0.087552114
Northern,TX-Upper,San Antonio Bay,28.30411111,-96.62822222,Subtidal,Yes,,66,54,37,42.2,6.11,79.34,85.45,0.818181818,0.560606061,0.639393939,0.077010335
Northern,TX-Upper,San Antonio Bay,28.30411111,-96.62822222,Subtidal,Yes,,58,53,21,23.4,3.16,48.48,51.64,0.913793103,0.362068966,0.403448276,0.065181518
Northern,TX-Upper,Galveston Bay,29.53805556,-94.88555556,Subtidal,Yes,,74,68,37,70.2,14.9,128,142.9,0.918918919,0.5,0.948648649,0.11640625
Northern,TX-Upper,Galveston Bay,29.53805556,-94.88555556,Subtidal,Yes,,91,54,32,63,12.49,120.68,133.17,0.593406593,0.351648352,0.692307692,0.103496851
Northern,TX-Upper,Galveston Bay,29.53805556,-94.88555556,Subtidal,Yes,,85,64,37,72,11.19,126.25,137.44,0.752941176,0.435294118,0.847058824,0.088633663
Northern,TX-Upper,Galveston Bay,29.53805556,-94.88555556,Subtidal,Yes,,56,52,35,40.2,6.37,76.19,82.56,0.928571429,0.625,0.717857143,0.083606773
Northern,TX-Upper,Galveston Bay,29.53805556,-94.88555556,Subtidal,Yes,,64,56,31,39.8,7.78,68.62,76.4,0.875,0.484375,0.621875,0.113378024
Northern,TX-Upper,Galveston Bay,29.53805556,-94.88555556,Subtidal,Yes,,61,38,21,22.4,5.22,40.08,45.3,0.62295082,0.344262295,0.367213115,0.130239521
Northern,AL,Mississippi Sound,30.30344444,-88.16108333,Subtidal,Yes,,107,77,38,118.8,22.12,198.17,220.29,0.719626168,0.355140187,1.110280374,0.111621335
Northern,AL,Mississippi Sound,30.30344444,-88.16108333,Subtidal,Yes,,124,77,42,125.8,22.83,207.89,230.72,0.620967742,0.338709677,1.014516129,0.109817692
Northern,AL,Mississippi Sound,30.30344444,-88.16108333,Subtidal,Yes,,118,71,38,124.8,25.15,172.83,197.98,0.601694915,0.322033898,1.057627119,0.145518718
Northern,AL,Mississippi Sound,30.30344444,-88.16108333,Subtidal,Yes,,107,80,42,108.2,18.75,186.32,205.07,0.747663551,0.392523364,1.011214953,0.100633319
Northern,AL,Mississippi Sound,30.30344444,-88.16108333,Subtidal,Yes,,103,72,36,100,16.1,179.43,195.53,0.699029126,0.349514563,0.970873786,0.089728585
Northern,AL,Mississippi Sound,30.30344444,-88.16108333,Subtidal,Yes,,95,74,41,102,17.9,185.2,203.1,0.778947368,0.431578947,1.073684211,0.096652268
